,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
262,0.336,0.06,0.066,0.138,0.15,0.058,0.105,0.062,0.062,0.087,0.08,0.301,0.798,0.498,0.268,0.603,0.375,0.173,0.397,0.231,0.153,0.237,0.775,0.435,0.436,0.601,0.606,0.662,0.179,0.393,0.529,0.566,0.572,0.299,0.333,0.351,0.458,0.44,0.437
263,0.401,0.071,0.064,0.14,0.126,0.053,0.131,0.055,0.071,0.101,0.103,0.165,0.734,0.569,0.301,0.679,0.435,0.199,0.477,0.27,0.17,0.28,0.786,0.391,0.417,0.734,0.462,0.63,0.258,0.412,0.528,0.611,0.611,0.321,0.36,0.377,0.476,0.489,0.482
264,0.348,0.059,0.066,0.14,0.15,0.062,0.11,0.064,0.074,0.087,0.088,0.216,0.76,0.544,0.307,0.65,0.412,0.186,0.429,0.238,0.169,0.277,0.785,0.478,0.434,0.602,0.558,0.71,0.178,0.426,0.509,0.552,0.556,0.293,0.316,0.331,0.515,0.49,0.485
265,0.373,0.062,0.063,0.157,0.167,0.062,0.113,0.073,0.071,0.089,0.088,0.212,0.767,0.556,0.296,0.642,0.415,0.196,0.451,0.26,0.169,0.269,0.812,0.441,0.435,0.633,0.504,0.65,0.173,0.419,0.574,0.58,0.584,0.291,0.308,0.322,0.421,0.411,0.409
266,0.372,0.066,0.065,0.151,0.154,0.058,0.127,0.072,0.07,0.097,0.097,0.24,0.781,0.541,0.296,0.625,0.417,0.197,0.44,0.245,0.159,0.253,0.812,0.403,0.448,0.624,0.533,0.649,0.179,0.405,0.494,0.577,0.579,0.307,0.323,0.342,0.527,0.504,0.502
267,0.398,0.056,0.052,0.143,0.143,0.051,0.138,0.068,0.079,0.098,0.096,0.175,0.733,0.558,0.298,0.68,0.434,0.208,0.482,0.26,0.176,0.298,0.77,0.371,0.432,0.649,0.4,0.677,0.258,0.438,0.754,0.708,0.71,0.268,0.318,0.336,0.513,0.5,0.496
268,0.396,0.064,0.063,0.158,0.158,0.055,0.12,0.071,0.079,0.098,0.094,0.164,0.726,0.563,0.287,0.687,0.425,0.209,0.496,0.276,0.183,0.276,0.769,0.395,0.421,0.679,0.447,0.663,0.189,0.402,0.664,0.642,0.643,0.313,0.345,0.363,0.555,0.531,0.529
269,0.393,0.044,0.054,0.143,0.153,0.056,0.122,0.069,0.074,0.096,0.097,0.195,0.74,0.547,0.277,0.673,0.429,0.209,0.467,0.271,0.177,0.267,0.763,0.361,0.448,0.579,0.405,0.653,0.202,0.397,0.72,0.666,0.666,0.307,0.342,0.36,0.419,0.409,0.406
270,0.362,0.068,0.075,0.126,0.14,0.065,0.116,0.063,0.075,0.093,0.092,0.203,0.748,0.545,0.299,0.663,0.426,0.198,0.452,0.246,0.168,0.281,0.771,0.432,0.438,0.601,0.601,0.683,0.184,0.424,0.483,0.531,0.537,0.3,0.325,0.34,0.451,0.46,0.454
271,0.377,0.06,0.063,0.152,0.154,0.062,0.142,0.059,0.078,0.084,0.081,0.213,0.766,0.553,0.318,0.642,0.402,0.186,0.424,0.235,0.172,0.292,0.808,0.438,0.439,0.602,0.549,0.732,0.377,0.455,0.507,0.556,0.559,0.22,0.256,0.267,0.522,0.488,0.486
272,0.358,0.071,0.064,0.154,0.154,0.059,0.116,0.057,0.062,0.095,0.092,0.251,0.784,0.533,0.292,0.621,0.419,0.192,0.443,0.242,0.156,0.258,0.805,0.42,0.433,0.661,0.531,0.645,0.181,0.415,0.525,0.583,0.589,0.348,0.366,0.38,0.566,0.529,0.526
273,0.394,0.06,0.065,0.15,0.162,0.064,0.159,0.063,0.066,0.091,0.089,0.244,0.797,0.553,0.32,0.604,0.384,0.183,0.408,0.234,0.157,0.251,0.859,0.419,0.449,0.568,0.601,0.671,0.365,0.416,0.507,0.558,0.564,0.25,0.287,0.301,0.539,0.502,0.5
274,0.338,0.053,0.063,0.143,0.153,0.069,0.114,0.066,0.05,0.084,0.084,0.273,0.793,0.524,0.303,0.609,0.368,0.163,0.368,0.223,0.136,0.211,0.807,0.519,0.443,0.552,0.644,0.61,0.192,0.346,0.51,0.538,0.541,0.295,0.324,0.34,0.399,0.385,0.383
275,0.384,0.062,0.071,0.124,0.137,0.067,0.153,0.066,0.068,0.091,0.086,0.212,0.766,0.555,0.324,0.642,0.396,0.18,0.428,0.231,0.166,0.263,0.811,0.432,0.421,0.644,0.573,0.719,0.344,0.41,0.513,0.567,0.574,0.257,0.303,0.317,0.471,0.479,0.473
276,0.372,0.058,0.068,0.152,0.159,0.062,0.142,0.065,0.063,0.094,0.09,0.265,0.796,0.531,0.301,0.605,0.376,0.179,0.41,0.23,0.163,0.249,0.824,0.423,0.437,0.609,0.578,0.709,0.278,0.412,0.5,0.548,0.553,0.26,0.303,0.318,0.495,0.464,0.461
277,0.358,0.059,0.063,0.146,0.15,0.049,0.112,0.066,0.073,0.079,0.076,0.258,0.775,0.518,0.271,0.632,0.398,0.194,0.44,0.247,0.17,0.274,0.769,0.399,0.441,0.629,0.5,0.688,0.243,0.434,0.578,0.583,0.588,0.276,0.304,0.321,0.458,0.444,0.444
278,0.383,0.066,0.065,0.167,0.166,0.059,0.127,0.063,0.066,0.088,0.087,0.223,0.748,0.527,0.271,0.663,0.429,0.203,0.47,0.256,0.171,0.255,0.746,0.336,0.432,0.64,0.504,0.668,0.258,0.385,0.586,0.581,0.586,0.304,0.32,0.335,0.436,0.415,0.412
279,0.361,0.056,0.064,0.142,0.152,0.06,0.131,0.061,0.061,0.094,0.091,0.267,0.798,0.531,0.302,0.603,0.378,0.178,0.4,0.231,0.147,0.249,0.826,0.45,0.445,0.584,0.577,0.636,0.241,0.413,0.519,0.552,0.557,0.268,0.307,0.325,0.531,0.498,0.496
280,0.362,0.064,0.064,0.114,0.128,0.052,0.112,0.066,0.069,0.098,0.094,0.239,0.774,0.535,0.286,0.633,0.416,0.193,0.438,0.249,0.157,0.26,0.793,0.418,0.441,0.611,0.542,0.631,0.153,0.411,0.534,0.588,0.593,0.301,0.335,0.352,0.479,0.484,0.479
281,0.384,0.063,0.072,0.151,0.163,0.061,0.128,0.072,0.067,0.098,0.097,0.182,0.738,0.557,0.301,0.675,0.413,0.199,0.45,0.256,0.169,0.253,0.774,0.421,0.442,0.583,0.582,0.66,0.194,0.375,0.537,0.554,0.56,0.287,0.321,0.34,0.455,0.432,0.429
282,0.365,0.055,0.06,0.149,0.156,0.064,0.133,0.063,0.061,0.09,0.087,0.27,0.796,0.526,0.294,0.605,0.377,0.179,0.403,0.233,0.156,0.243,0.815,0.43,0.444,0.581,0.553,0.67,0.267,0.402,0.573,0.577,0.583,0.279,0.311,0.325,0.535,0.499,0.497
283,0.386,0.063,0.066,0.154,0.163,0.059,0.121,0.073,0.076,0.088,0.086,0.194,0.749,0.556,0.29,0.663,0.415,0.199,0.469,0.265,0.181,0.28,0.787,0.407,0.424,0.658,0.492,0.683,0.223,0.422,0.563,0.577,0.581,0.284,0.303,0.319,0.439,0.425,0.423
284,0.394,0.067,0.069,0.15,0.158,0.068,0.146,0.065,0.07,0.096,0.1,0.193,0.754,0.561,0.313,0.657,0.423,0.198,0.454,0.248,0.169,0.26,0.801,0.395,0.436,0.626,0.548,0.681,0.278,0.396,0.531,0.545,0.549,0.283,0.304,0.32,0.43,0.414,0.411
285,0.283,0.035,0.033,0.121,0.12,0.066,0.085,0.032,0.074,0.064,0.074,0.232,0.779,0.548,0.35,0.628,0.449,0.159,0.34,0.199,0.133,0.244,0.819,0.595,0.468,0.535,0.4,0.668,0.291,0.389,0.742,0.75,0.75,0.465,0.46,0.456,0.623,0.622,0.624
286,0.396,0.067,0.076,0.127,0.139,0.065,0.15,0.066,0.066,0.102,0.095,0.178,0.749,0.571,0.326,0.663,0.415,0.196,0.45,0.246,0.168,0.268,0.808,0.424,0.436,0.602,0.606,0.683,0.278,0.404,0.494,0.546,0.549,0.261,0.312,0.329,0.471,0.471,0.466
287,0.346,0.061,0.068,0.123,0.148,0.056,0.11,0.075,0.058,0.087,0.084,0.265,0.768,0.505,0.27,0.641,0.39,0.177,0.412,0.236,0.158,0.237,0.739,0.413,0.43,0.621,0.586,0.669,0.162,0.37,0.514,0.543,0.548,0.271,0.319,0.336,0.394,0.375,0.372
288,0.394,0.073,0.075,0.128,0.132,0.059,0.138,0.066,0.072,0.096,0.098,0.217,0.752,0.534,0.279,0.66,0.443,0.202,0.473,0.256,0.166,0.266,0.759,0.318,0.427,0.658,0.556,0.648,0.251,0.403,0.544,0.564,0.57,0.305,0.335,0.355,0.446,0.463,0.457
289,0.366,0.067,0.071,0.129,0.14,0.064,0.119,0.077,0.07,0.094,0.096,0.208,0.759,0.552,0.306,0.651,0.411,0.197,0.445,0.246,0.171,0.258,0.795,0.455,0.443,0.594,0.59,0.695,0.158,0.396,0.504,0.548,0.553,0.298,0.316,0.333,0.41,0.391,0.387
290,0.366,0.057,0.063,0.146,0.156,0.075,0.154,0.058,0.06,0.088,0.093,0.263,0.812,0.549,0.337,0.583,0.373,0.17,0.386,0.212,0.145,0.226,0.884,0.493,0.44,0.565,0.625,0.684,0.347,0.388,0.478,0.535,0.537,0.281,0.29,0.304,0.534,0.486,0.485
