,filename,n-sto,sto-li,ps-pi1,ps-pi2,sn-sto,sn-c,or-pi1,or-pi2,cph-cph,sbal-ls1,sbal-ls2,al-al,ch-ch,go-go,zy-zy,ex-ex,en-en,ex-en,tn-n,tn-gn,n-gn,sn-gn,n-sn,sto-gn,ls-sto,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",DD,EOS,cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
23,chosensame/same1781/scene01026.png,122.184,17.117,17.692,16.492,29.275,18.439,38.118,33.541,23.77,29.682,32.311,51.42,84.9,173.22,246.911,143.837,62.586,43.417,96.0,289.762,194.139,102.02,92.962,73.027,8.062,0.786,0.422,0.435,0.694,0.394,0.553,0.471,0.344,-0.6129999756813049,0.6240000128746033,0.586,0.617,0.62,0.398,0.383,0.392,0.461,0.463,0.462
24,chosensame/same1781/scene00941.png,121.824,17.117,17.692,17.088,29.069,18.248,38.328,34.366,24.739,25.239,28.636,48.27,90.708,171.991,243.971,143.178,64.133,42.297,86.0,283.933,198.338,106.075,92.962,77.026,10.44,0.813,0.448,0.448,0.66,0.411,0.519,0.61,0.372,-0.10999999940395355,0.6549999713897705,0.623,0.606,0.61,0.398,0.373,0.38,0.485,0.488,0.487
25,chosensame/same1781/scene00196.png,122.784,19.235,13.454,16.031,30.414,15.0,38.833,34.928,20.616,27.203,28.792,49.244,73.376,172.957,244.049,141.651,64.761,39.294,82.0,283.171,202.054,109.895,92.418,79.511,10.77,0.828,0.46,0.457,0.607,0.375,0.533,0.56,0.301,-0.6029999852180481,0.5410000085830688,0.612,0.638,0.638,0.42,0.399,0.406,0.421,0.426,0.425
26,chosensame/same1781/scene02696.png,123.146,16.0,22.023,17.889,31.257,18.358,46.098,40.112,22.204,24.166,28.844,48.662,82.037,163.573,256.644,145.382,63.506,46.0,104.0,298.015,194.023,102.825,92.542,71.568,12.0,0.756,0.438,0.437,0.724,0.434,0.526,0.75,0.32,-0.5759999752044678,0.4880000054836273,0.665,0.618,0.621,0.428,0.394,0.401,0.497,0.477,0.476
27,chosensame/same1781/scene01706.png,126.752,15.133,22.672,19.235,34.132,18.682,45.1,37.054,23.77,25.807,27.313,50.22,86.833,168.962,246.132,147.492,63.953,44.102,79.0,281.94,203.305,111.113,92.763,77.026,15.297,0.826,0.456,0.434,0.69,0.475,0.541,1.011,0.353,-0.11599999666213989,0.6439999938011169,0.569,0.544,0.546,0.381,0.362,0.369,0.497,0.494,0.492
28,chosensame/same1781/scene00171.png,118.343,13.153,21.26,18.358,25.0,17.263,41.012,37.336,25.02,26.077,28.178,50.249,91.662,171.549,244.283,149.753,67.268,42.0,92.0,282.113,190.168,97.005,93.434,72.007,6.083,0.778,0.42,0.449,0.624,0.472,0.538,0.462,0.375,-0.16099999845027924,0.5839999914169312,0.598,0.589,0.592,0.462,0.427,0.436,0.452,0.452,0.452
29,chosensame/same1781/scene00176.png,118.343,14.142,16.125,16.492,25.0,17.263,40.012,37.336,24.083,26.42,28.178,50.249,91.662,172.285,246.982,151.743,68.264,42.048,94.0,284.086,190.129,97.021,93.434,72.028,6.083,0.77,0.418,0.45,0.616,0.388,0.538,0.43,0.371,-0.17599999904632568,0.5799999833106995,0.713,0.702,0.705,0.454,0.419,0.427,0.465,0.464,0.464
30,chosensame/same1781/scene01621.png,126.495,16.125,17.029,15.524,36.222,21.84,52.24,49.163,21.378,28.844,29.411,49.244,80.281,170.449,251.509,139.635,61.984,42.297,115.0,317.068,202.675,113.111,90.471,77.006,14.318,0.806,0.452,0.444,0.682,0.385,0.544,0.888,0.319,-0.2939999997615814,0.6389999985694885,0.658,0.637,0.636,0.389,0.367,0.374,0.451,0.441,0.434
31,chosensame/same1781/scene02991.png,124.403,16.031,17.205,15.811,33.061,20.248,41.0,36.014,20.1,32.311,33.615,48.374,79.076,164.685,246.941,144.392,64.382,43.186,87.0,288.111,201.159,110.073,91.788,77.026,7.0,0.815,0.468,0.446,0.671,0.382,0.527,0.437,0.32,-0.1979999989271164,0.6110000014305115,0.681,0.646,0.648,0.427,0.409,0.416,0.522,0.508,0.507
32,chosensame/same1781/scene02986.png,124.459,17.263,20.518,17.464,34.015,19.925,41.11,37.336,25.962,23.601,25.495,49.244,90.25,163.175,249.479,143.753,63.151,43.186,82.0,284.703,202.988,113.018,90.802,79.006,17.029,0.814,0.484,0.439,0.684,0.44,0.542,0.986,0.362,-0.10700000077486038,0.5659999847412109,0.619,0.592,0.595,0.339,0.318,0.326,0.468,0.462,0.461
